ca_county,all_od_deaths_count,fentanyl_deaths_count,pop_2020,all_od_crude_rate,fent_crude_rate
San Francisco,532,373,873965,60.9,42.7
Kern,357,139,909235,39.3,15.3
Nevada,37,18,102241,36.2,17.6
Imperial,60,18,179702,33.4,10.0
Butte,69,6,211632,32.6,2.8
Humboldt,42,10,136463,30.8,7.3
Sonoma,144,101,488863,29.5,20.7
San Luis Obispo,82,33,282424,29.0,11.7
Riverside,689,275,2418185,28.5,11.4
Shasta,45,7,182155,24.7,3.8
San Diego,747,406,3298634,22.6,12.3
Stanislaus,125,54,552878,22.6,9.8
Ventura,190,86,843843,22.5,10.2
San Bernardino,485,220,2181654,22.2,10.1
Santa Cruz,59,13,270861,21.8,4.8
Monterey,95,23,439035,21.6,5.2
Santa Barbara,91,10,448229,20.3,2.2
San Joaquin,157,49,779233,20.1,6.3
Orange,636,385,3186989,20.0,12.1
Contra Costa,232,108,1165927,19.9,9.3
Marin,52,22,262321,19.8,8.4
Los Angeles,1955,968,10014009,19.5,9.7
Alameda,317,117,1682353,18.8,7.0
Merced,52,18,281202,18.5,6.4
El Dorado,35,10,191185,18.3,5.2
Sacramento,282,53,1585055,17.8,3.3
Solano,77,26,453491,17.0,5.7
Placer,67,26,404739,16.6,6.4
Fresno,160,40,1008654,15.9,4.0
San Mateo,120,57,764442,15.7,7.5
Santa Clara,295,84,1936259,15.2,4.3
Tulare,71,29,473117,15.0,6.1
Yolo,31,7,216403,14.3,3.2
Madera,22,3,156255,14.1,1.9
Kings,21,5,152486,13.8,3.3
Napa,17,4,138019,12.3,2.9